dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
01_St1_D1	167938	162000	161777	161819	160480	159233	94.8
02_St1_D15	295467	291433	290160	290818	283476	278278	94.2
03_St1_D45	609184	601806	599459	599403	585774	559695	91.9
04_St2_D1	206261	203128	202793	202736	199257	195165	94.6
05_St2_D15	396497	391525	390640	390889	383291	377723	95.3
06_St2_D45	245246	240807	240407	240373	234118	224000	91.3
07_St3_D1	310313	306633	306084	306069	302127	300024	96.7
08_St3_D15	336656	331936	331320	331333	325842	318824	94.7
09_St3_D45	255214	251838	251117	251348	246617	239046	93.7
10_St4_D1	156296	154144	153881	153846	151503	149421	95.6
11_St4_D15	272353	268199	267668	267715	261325	254758	93.5
12_St4_D45	131145	119740	119445	119529	116830	111963	85.4
13_St5_D1	209978	207268	206688	206710	202701	196396	93.5
14_St5_D15	266658	262190	261537	261304	255323	246231	92.3
15_St5_D45	287883	282183	281510	281399	276134	268270	93.2
16_St6_D1	299018	295138	294210	294134	288881	283053	94.7
17_St6_D15	436923	431363	429918	429985	421160	410669	94
18_St6_D45	345555	340880	339682	340031	333095	323699	93.7
19_St7_D1	381206	376388	375081	375547	368273	362822	95.2
20_St7_D15	325792	321763	321045	321231	315564	306259	94
21_St7_D45	409185	404099	402380	402957	392557	383025	93.6
22_St8_D1	639562	629734	627258	628026	610824	595924	93.2
23_St8_D15	236665	232029	231342	231550	226766	219931	92.9
24_St8_D45	272500	269086	268394	268490	262920	257062	94.3
25_St9_D1	541371	531618	530047	530047	517682	511224	94.4
26_St10_D1	174926	162482	162187	162289	159413	157631	90.1
27_St10_D15	137799	135124	134914	134895	132160	130155	94.5
28_St10_D45	172580	159109	158544	158602	155131	146316	84.8
29_St11_D1	172797	166203	165780	165865	162566	160229	92.7
30_St11_D15	421599	411127	409795	410176	400797	396091	93.9
31_St11_D45	551092	543692	541773	542032	527507	502491	91.2
32_St12_D1	160307	156472	156180	156151	153297	150840	94.1
33_St12_D15	225107	214643	214058	213983	209767	206903	91.9
34_St12_D45	445400	439714	438529	438172	427547	417667	93.8
35_St13_D1	499025	489571	487845	487519	479462	475932	95.4
36_St13_D15	431806	420203	418648	419024	410829	406171	94.1
37_St13_D45	488607	482434	480827	480691	468602	460966	94.3
38_St14_D1	162211	151456	151193	151139	149084	148185	91.4
39_St14_D15	291125	286535	285915	286006	282318	279893	96.1
40_St14_D45	407753	402758	401705	401787	393422	383059	93.9
41_St15_D1	342396	337856	336935	336546	331147	326723	95.4
42_St15_D15	524160	514985	513239	512589	502448	496136	94.7
43_St15_D45	516809	510256	508235	507853	495758	485442	93.9
44_St16_D1	352920	348374	347468	347568	340360	337105	95.5
45_St16_D15	349554	346045	345155	345123	339585	335266	95.9
46_St16_D45	434181	428574	427300	427013	414889	408374	94.1
47_St17_D1	382400	376241	374986	375552	366984	363386	95
48_St17_D15	442241	435912	434493	434644	427251	413108	93.4
49_St17_D45	520583	512012	510528	510655	500466	485952	93.3
50_St18_D1	252211	248952	248299	248238	243069	241565	95.8
51_St18_D15	645904	637188	634946	635120	619850	596660	92.4
52_St18_D45	405291	399739	398257	398442	387352	375256	92.6
53_St19_D1	279334	275568	274657	274515	269058	266581	95.4
54_St19_D15	594657	587441	585253	584677	570333	544133	91.5
55_St19_D45	520102	513301	511828	511750	498426	485505	93.3
56_St20_D1	222307	219720	219250	219214	215503	213484	96
57_St20_D15	451225	444652	443397	443512	433065	419357	92.9
58_St20_D45	466891	461120	458838	460022	448721	437564	93.7
59_St21_D1	435359	429158	427790	428147	420477	414794	95.3
60_St21_D15	229421	226314	225917	225853	222104	220105	95.9
61_St21_D45	311935	307864	307106	307407	302084	296042	94.9
62_St22_D1	468129	462946	461434	460820	451295	447946	95.7
63_St22_D15	202660	190396	190109	190244	185084	184155	90.9
64_St22_D45	379279	374620	373327	373742	363017	352263	92.9
65_Positive_control	483658	465730	464193	465214	444032	438884	90.7
66_Extraction_negative	38135	289	244	289	243	243	0.6
