sample,dada2_input,filtered,nonchim,final_perc_reads_retained,dada2_input,filtered,nonchim,final_perc
01_St1_D1,371138,366327,353816,95.3,167938,162000,159233,94.8
02_St1_D15,316995,309348,296421,93.5,295467,291433,278278,94.2
03_St1_D45,601692,571131,545236,90.6,609184,601806,559695,91.9
04_St2_D1,525979,518763,499379,94.9,206261,203128,195165,94.6
05_St2_D15,316303,311817,298475,94.4,396497,391525,377723,95.3
06_St2_D45,318879,309866,293311,92,245246,240807,224000,91.3
07_St3_D1,312747,308853,297158,95,310313,306633,300024,96.7
08_St3_D15,307648,300419,285087,92.7,336656,331936,318824,94.7
09_St3_D45,306492,296619,281668,91.9,255214,251838,239046,93.7
10_St4_D1,351913,347298,332362,94.4,156296,154144,149421,95.6
11_St4_D15,359547,352804,335602,93.3,272353,268199,254758,93.5
12_St4_D45,396421,388578,368041,92.8,131145,119740,111963,85.4
13_St5_D1,313115,308863,294759,94.1,209978,207268,196396,93.5
14_St5_D15,363162,356701,340086,93.6,266658,262190,246231,92.3
15_St5_D45,353221,343088,325185,92.1,287883,282183,268270,93.2
16_St6_D1,281201,276415,263685,93.8,299018,295138,283053,94.7
17_St6_D15,418191,409711,390284,93.3,436923,431363,410669,94
18_St6_D45,390099,381026,362714,93,345555,340880,323699,93.7
19_St7_D1,366273,361555,345740,94.4,381206,376388,362822,95.2
20_St7_D15,339963,334859,319188,93.9,325792,321763,306259,94
21_St7_D45,303950,296456,281284,92.5,409185,404099,383025,93.6
22_St8_D1,337705,330947,313202,92.7,639562,629734,595924,93.2
23_St8_D15,381839,372339,351570,92.1,236665,232029,219931,92.9
24_St8_D45,312275,301121,283750,90.9,272500,269086,257062,94.3
25_St9_D1,570511,548862,505843,88.7,541371,531618,511224,94.4
26_St10_D1,330685,322847,307372,93,174926,162482,157631,90.1
27_St10_D15,322474,314221,301091,93.4,137799,135124,130155,94.5
28_St10_D45,339917,306163,293472,86.3,172580,159109,146316,84.8
29_St11_D1,309975,304049,292086,94.2,172797,166203,160229,92.7
30_St11_D15,312887,306906,294584,94.2,421599,411127,396091,93.9
31_St11_D45,302479,276764,264647,87.5,551092,543692,502491,91.2
32_St12_D1,285768,280376,268860,94.1,160307,156472,150840,94.1
33_St12_D15,348047,341695,329331,94.6,225107,214643,206903,91.9
34_St12_D45,411151,393009,373914,90.9,445400,439714,417667,93.8
35_St13_D1,345768,340103,326603,94.5,499025,489571,475932,95.4
36_St13_D15,326297,321443,307320,94.2,431806,420203,406171,94.1
37_St13_D45,293801,286753,271720,92.5,488607,482434,460966,94.3
38_St14_D1,295662,291354,277606,93.9,162211,151456,148185,91.4
39_St14_D15,270543,266086,252745,93.4,291125,286535,279893,96.1
40_St14_D45,261030,250345,235770,90.3,407753,402758,383059,93.9
41_St15_D1,257633,249163,232092,90.1,342396,337856,326723,95.4
42_St15_D15,297484,291861,267460,89.9,524160,514985,496136,94.7
43_St15_D45,368888,359510,333555,90.4,516809,510256,485442,93.9
44_St16_D1,304487,298356,284000,93.3,352920,348374,337105,95.5
45_St16_D15,248385,241428,229614,92.4,349554,346045,335266,95.9
46_St16_D45,281040,271667,255616,91,434181,428574,408374,94.1
47_St17_D1,393548,367729,348606,88.6,382400,376241,363386,95
48_St17_D15,287314,263887,249625,86.9,442241,435912,413108,93.4
49_St17_D45,338321,298088,282467,83.5,520583,512012,485952,93.3
50_St18_D1,315706,311542,299870,95,252211,248952,241565,95.8
51_St18_D15,301823,281489,268297,88.9,645904,637188,596660,92.4
52_St18_D45,310464,286791,273240,88,405291,399739,375256,92.6
53_St19_D1,252994,249527,238671,94.3,279334,275568,266581,95.4
54_St19_D15,308342,288438,274761,89.1,594657,587441,544133,91.5
55_St19_D45,495216,467165,437820,88.4,520102,513301,485505,93.3
56_St20_D1,317767,314228,300612,94.6,222307,219720,213484,96
57_St20_D15,367182,350234,333599,90.9,451225,444652,419357,92.9
58_St20_D45,260304,246779,235097,90.3,466891,461120,437564,93.7
59_St21_D1,271013,266358,254454,93.9,435359,429158,414794,95.3
60_St21_D15,517486,498235,453443,87.6,229421,226314,220105,95.9
61_St21_D45,274650,265195,252901,92.1,311935,307864,296042,94.9
62_St22_D1,307495,297018,282790,92,468129,462946,447946,95.7
63_St22_D15,474775,430083,411824,86.7,202660,190396,184155,90.9
64_St22_D45,536365,518550,493439,92,379279,374620,352263,92.9
65_zymo_positive,820745,813668,733263,89.3,483658,465730,438884,90.7
66_Extraction_negative,2162,13,4,0.2,38135,289,243,0.6
